,AirTempMax_1,AirTempMax_3,AirTempMax_30,AirTempMax_7,AirTempMin_1,AirTempMin_3,AirTempMin_30,AirTempMin_7,AirTemp_1,AirTemp_3,AirTemp_30,AirTemp_7,Evapo_1,Evapo_3,Evapo_30,Evapo_7,Precip_1,Precip_3,Precip_30,Precip_7,SWC_1,SWC_3,SWC_30,SWC_7,SolarMax_1,SolarMax_3,SolarMax_30,SolarMax_7,Stemp_1,Stemp_3,Stemp_30,Stemp_7,Time
GL0,21.81,22.570000000000004,19.856999999999996,18.954285714285714,7.832999999999999,10.911,6.446233333333335,7.674857142857142,15.538874999999999,17.040180555555555,13.532509722222223,13.446482142857144,0.341375,0.35152777777777783,0.2945583333333333,0.27208928571428576,0.0,0.0,0.6032499999999998,0.5503333333333332,0.11825000000000006,0.12398611111111117,0.10376527777777782,0.13186309523809525,0.998,1.0519999999999998,1.0525999999999998,1.0161428571428572,20.572083333333335,21.84861111111111,20.011715277777782,18.56882738095238,0
GL1,33.62,34.553333333333335,29.964666666666666,34.12571428571429,21.83,19.45,14.635266666666668,19.59857142857143,27.500833333333333,27.340555555555554,22.669768055555558,27.109226190476193,0.44741666666666674,0.4409027777777778,0.4145555555555555,0.4872738095238094,0.0,0.0,0.0,0.0,0.06920833333333333,0.06980555555555555,0.07865138888888891,0.07052380952380953,1.071,1.11,1.1031666666666664,1.1075714285714287,33.61541666666667,33.66430555555556,30.21333333333333,33.69232142857143,1
GL2,30.73,28.703333333333333,29.898666666666664,29.398571428571426,19.74,18.016666666666666,18.20633333333333,18.985714285714288,24.69125,23.40111111111111,23.680527777777783,23.855535714285715,0.2819166666666666,0.2376666666666666,0.28185000000000004,0.24873809523809523,0.127,0.16933333333333334,2.1801666666666666,0.16933333333333334,0.13204166666666667,0.13669444444444442,0.14217361111111113,0.15005952380952378,0.914,0.867,0.9511333333333333,0.8918571428571429,28.075833333333332,27.174305555555552,27.39695833333333,27.640952380952378,2
GL3,22.37,24.293333333333333,30.54366666666667,26.17142857142857,10.26,12.456666666666665,17.973000000000003,14.561428571428573,16.49208333333333,18.09194444444444,24.240361111111106,19.95779761904762,0.16204166666666667,0.19409722222222223,0.2620111111111111,0.18969642857142857,0.0,0.0,0.8360833333333333,0.4868333333333333,0.11808333333333337,0.122125,0.09521805555555554,0.11283333333333334,0.938,0.944,0.9091999999999999,0.8592857142857142,22.03,23.305694444444445,28.902513888888883,24.37244047619048,3
GL4,22.78,20.527619047619048,22.549999999999997,22.860000000000003,9.13,6.5354761904761896,8.3645,8.01242857142857,15.798749999999998,13.587555555555552,15.560136111111113,15.560482142857142,0.17775,0.16423015873015873,0.1796138888888889,0.18874404761904762,0.0,0.30691666666666667,0.30691666666666667,0.0,0.10233333333333335,0.11483134920634921,0.11787083333333333,0.1054166666666667,0.7440000000000001,0.7446666666666666,0.7620333333333335,0.7507142857142857,16.612875,15.560932539682534,17.634,17.095214285714288,4
PJ0,19.93,20.366666666666667,18.042333333333332,16.73428571428571,6.822,8.994,4.1568000000000005,5.416714285714286,13.6355,14.951416666666667,11.578463888888889,11.227208333333332,0.277875,0.2883194444444444,0.2442041666666666,0.22457738095238092,0.0,0.0,0.7831666666666665,0.6032499999999998,0.13458333333333336,0.13520833333333337,0.13156388888888892,0.13729761904761908,1.0390000000000001,1.0653333333333335,1.0485,1.026142857142857,19.72875,19.981250000000003,18.018752777777777,17.10369642857143,0
PJ1,30.79,32.14333333333334,28.138333333333332,31.898571428571426,20.32,19.3,12.598799999999999,19.360000000000003,25.555000000000003,26.139305555555556,21.17259861111111,25.97482142857143,0.3862499999999999,0.36633333333333334,0.3387986111111111,0.3861428571428571,0.0,0.0,0.0,0.0,0.08641666666666666,0.08715277777777779,0.10303055555555556,0.08878571428571429,1.0979999999999999,1.0926666666666665,1.0915000000000001,1.0894285714285714,31.545416666666668,31.613611111111112,27.376736111111118,31.46833333333333,1
PJ2,28.69,27.006666666666664,27.865999999999996,27.408571428571427,16.03,15.393333333333333,16.061666666666667,16.02,21.49666666666667,20.817361111111115,21.743972222222215,21.26184523809524,0.21304166666666668,0.18090277777777777,0.21671249999999997,0.1890654761904762,0.10583333333333333,0.10583333333333333,3.767416666666667,0.47625,0.16641666666666663,0.1729861111111111,0.14893333333333333,0.17820833333333333,0.953,0.8776666666666667,0.8975666666666666,0.8991428571428571,23.278750000000002,22.698888888888888,23.919680555555555,23.02636904761905,2
PJ3,20.01,22.33666666666667,28.726,24.537142857142857,7.492999999999999,10.217666666666666,15.767766666666665,12.106142857142855,13.981374999999998,15.769486111111112,22.358545833333327,17.888589285714286,0.12641666666666668,0.14991666666666664,0.2013361111111111,0.15152380952380953,0.0,0.010583333333333333,0.9101666666666666,0.6138333333333332,0.11591666666666668,0.11734722222222223,0.10682222222222222,0.11204761904761906,0.7759999999999999,0.834,0.8315666666666667,0.7758571428571427,19.42083333333333,20.81361111111111,25.375166666666676,22.548809523809524,3
PJ4,21.83,19.32,21.248,21.94285714285714,4.369,4.97095238095238,6.703333333333333,5.755714285714285,12.870750000000001,12.13434126984127,13.895608333333335,14.174583333333333,0.13291666666666666,0.1366527777777778,0.14672361111111112,0.15179761904761907,0.0,0.53975,0.6773333333333333,0.0,0.13683333333333333,0.1437142857142857,0.14299722222222222,0.1385892857142857,0.7340000000000001,0.7377142857142857,0.7619333333333334,0.7435714285714285,14.598333333333331,14.276039682539684,16.001144444444446,15.647886904761902,4
PP0,16.27,16.78333333333333,14.426033333333331,13.050714285714287,4.312,7.023333333333333,2.0946,3.3561428571428573,10.42254166666667,11.724708333333334,8.578244444444444,8.196488095238095,0.24216666666666667,0.24261111111111108,0.20982916666666668,0.18426785714285712,0.0,0.0,1.0795000000000001,0.5609166666666667,0.1585833333333333,0.16343055555555555,0.15968472222222224,0.1690892857142857,1.054,1.0643333333333336,0.9994666666666666,0.9624285714285714,12.344583333333333,12.637499999999998,11.056094444444446,10.647690476190474,0
PP1,27.0,28.406666666666666,24.271333333333335,27.975714285714286,18.6,16.236666666666668,10.0687,17.060000000000002,22.374583333333334,22.935277777777774,17.963054166666666,22.69553571428571,0.33383333333333326,0.3399027777777777,0.3175347222222221,0.3633571428571428,0.0,0.0,0.0,0.0,0.07829166666666666,0.07879166666666666,0.09270555555555557,0.07975595238095237,1.114,1.1139999999999999,1.1092,1.1198571428571429,22.866666666666674,22.748333333333335,18.968777777777778,22.287261904761902,1
PP2,25.99,24.02333333333333,24.70866666666667,24.220000000000002,13.76,13.43,13.290066666666666,13.455714285714288,19.019166666666667,18.147500000000004,18.913441666666667,18.552500000000002,0.217125,0.16416666666666668,0.19280972222222217,0.16167261904761906,0.11641666666666667,0.21166666666666667,3.2382500000000007,0.7408333333333332,0.1517083333333333,0.15737499999999996,0.1153652777777778,0.15062499999999998,0.932,0.824,0.8943666666666666,0.8535714285714286,18.828749999999996,18.529583333333335,19.368,18.877976190476186,2
PP3,17.92,19.290000000000003,25.166666666666668,21.470000000000002,3.661,6.797000000000001,12.948033333333335,9.678714285714287,11.639000000000001,13.169527777777779,19.174369444444444,15.41497619047619,0.13233333333333336,0.12944444444444445,0.1727486111111111,0.13402380952380952,0.010583333333333333,0.042333333333333334,1.59825,0.3069166666666666,0.08812500000000001,0.08808333333333333,0.09203055555555556,0.08629166666666667,1.01,0.8876666666666667,0.8094666666666667,0.7965714285714285,15.155833333333335,16.129861111111108,19.322263888888887,17.455952380952382,3
PP4,18.71,16.63742857142857,18.447200000000002,19.518571428571427,3.57,2.5026666666666673,4.351,2.831285714285715,10.275875000000001,9.309200396825398,11.11857222222222,11.024380952380952,0.14883333333333335,0.13555158730158728,0.14550694444444442,0.15476785714285715,0.0,1.3123333333333336,1.5134166666666666,0.0,0.138625,0.1522420634920635,0.13840833333333338,0.14577380952380953,0.7879999999999999,0.7703809523809524,0.7925666666666668,0.7965714285714286,9.029416666666666,9.6087876984127,11.145929166666667,9.762136904761904,4
